ID,price,brand,model,Clasificacion ,year,title_status,mileage,color,lot,state,state,condition,Precio en México ,qx1-estado,qx_marca,qx_tipo 
123,47500,cadillac,door,INDUSTRIAL LIGERO,2017,clean vehicle,26562,black,167765120,michigan,michigan,2 days left,950000,0.0618,0.04,0.198
124,23500,ford,explorer,DERIVADO DE TURISMO,2017,clean vehicle,57611,black,167755891,south carolina,south carolina,21 hours left,470000,0.1541,0.15,0.128
125,23505,chevrolet,colorado,TODO TERRENO,2017,clean vehicle,47357,black,167765121,michigan,michigan,2 hours left,470100,0.0618,0.25,0.125
126,10940,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,84916,white,167656368,texas,texas,2 days left,218800,0.12,0.15,0.128
127,32100,ford,f-150,DERIVADO DE TURISMO,2017,clean vehicle,24521,gray,167755893,south carolina,south carolina,21 hours left,642000,0.1541,0.15,0.128
128,53000,chevrolet,3500,TODO TERRENO,2018,clean vehicle,16105,black,167765123,washington,washington,21 hours left,1060000,0.13,0.25,0.125
129,6830,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,35888,gold,167656369,texas,texas,2 days left,136600,0.12,0.15,0.128
130,11900,dodge,caravan,DERIVADO DE TURISMO,2017,clean vehicle,59537,gray,167755906,south carolina,south carolina,21 hours left,238000,0.1541,0.2,0.128
131,26414,chevrolet,1500,TODO TERRENO,2017,clean vehicle,55222,black,167765140,michigan,michigan,20 hours left,528280,0.0618,0.25,0.125
132,4160,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,32870,gray,167656464,florida,florida,17 hours left,83200,0.11,0.2,0.128
133,19405,chevrolet,door,TODO TERRENO,2017,clean vehicle,39687,silver,167765141,michigan,michigan,3 hours left,388100,0.0618,0.25,0.125
134,5690,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,47085,silver,167656466,florida,florida,17 hours left,113800,0.11,0.2,0.128
135,25900,chrysler,van,TODO TERRENO,2017,clean vehicle,32224,silver,167756044,south carolina,south carolina,21 hours left,518000,0.1541,0.04,0.125
136,24005,chevrolet,1500,TODO TERRENO,2017,clean vehicle,51293,beige,167765146,michigan,michigan,20 hours left,480100,0.0618,0.25,0.125
137,5090,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,42989,gray,167656467,florida,florida,17 hours left,101800,0.11,0.2,0.128
138,19500,chrysler,300,TODO TERRENO,2017,clean vehicle,31311,gray,167756093,arizona,arizona,34 minutes,390000,0.11,0.04,0.125
139,32012,chevrolet,1500,TODO TERRENO,2017,clean vehicle,46091,white,167765148,michigan,michigan,2 days left,640240,0.0618,0.25,0.125
140,6800,dodge,dart,DERIVADO DE TURISMO,2016,clean vehicle,49033,black,167756148,michigan,michigan,2 days left,136000,0.0618,0.2,0.128
141,4260,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,33957,gray,167656471,florida,florida,16 hours left,85200,0.11,0.2,0.128
142,31802,chevrolet,2500,TODO TERRENO,2017,clean vehicle,19845,silver,167765152,michigan,michigan,20 hours left,636040,0.0618,0.25,0.125
143,7210,dodge,doors,DERIVADO DE TURISMO,2018,clean vehicle,38910,black,167656472,florida,florida,16 hours left,144200,0.11,0.2,0.128
144,28402,chevrolet,1500,TODO TERRENO,2017,clean vehicle,31234,black,167765157,michigan,michigan,2 days left,568040,0.0618,0.25,0.125
145,6800,dodge,doors,DERIVADO DE TURISMO,2018,clean vehicle,36767,gray,167656473,florida,florida,16 hours left,136000,0.11,0.2,0.128
146,33300,cadillac,esv,INDUSTRIAL LIGERO,2015,clean vehicle,57932,gray,167765183,washington,washington,21 hours left,666000,0.13,0.04,0.198
147,10780,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,19420,white,167656474,florida,florida,16 hours left,215600,0.11,0.2,0.128
148,6700,ford,cutaway,DERIVADO DE TURISMO,2014,clean vehicle,204155,beige,167756194,pennsylvania,pennsylvania,3 days left,134000,0.12,0.15,0.128
149,20000,chevrolet,1500,TODO TERRENO,2016,clean vehicle,93493,white,167765203,washington,washington,21 hours left,400000,0.13,0.25,0.125
150,6440,chrysler,doors,TODO TERRENO,2018,clean vehicle,20942,gray,167656475,florida,florida,17 hours left,128800,0.11,0.04,0.125
151,19900,ford,door,DERIVADO DE TURISMO,2016,clean vehicle,86826,gray,167756205,south carolina,south carolina,21 hours left,398000,0.1541,0.15,0.128
152,37000,chevrolet,door,TODO TERRENO,2015,clean vehicle,45787,white,167765217,washington,washington,21 hours left,740000,0.13,0.25,0.125
153,4040,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,50765,red,167656476,florida,florida,16 hours left,80800,0.11,0.2,0.128
154,22300,ford,explorer,DERIVADO DE TURISMO,2016,clean vehicle,62774,black,167756208,south carolina,south carolina,21 hours left,446000,0.1541,0.15,0.128
155,31200,chevrolet,door,TODO TERRENO,2011,clean vehicle,76326,gray,167765320,washington,washington,21 hours left,624000,0.13,0.25,0.125
156,4290,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,39029,white,167656477,florida,florida,16 hours left,85800,0.11,0.2,0.128
157,22800,ford,el,DERIVADO DE TURISMO,2016,clean vehicle,72885,silver,167756210,south carolina,south carolina,21 hours left,456000,0.1541,0.15,0.128
158,19002,cadillac,door,INDUSTRIAL LIGERO,2016,clean vehicle,46467,white,167765761,michigan,michigan,20 hours left,380040,0.0618,0.04,0.198
159,4160,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,6743,gray,167656478,florida,florida,16 hours left,83200,0.11,0.2,0.128
160,18500,ford,edge,DERIVADO DE TURISMO,2016,clean vehicle,33514,white,167756214,south carolina,south carolina,21 hours left,370000,0.1541,0.15,0.128
161,39000,bmw,series,TURISMO FAMILIAR,2016,clean vehicle,39917,blue,167765766,michigan,michigan,2 days left,780000,0.0618,0.03,0.14
162,6060,dodge,doors,DERIVADO DE TURISMO,2018,clean vehicle,32504,black,167656479,florida,florida,18 hours left,121200,0.11,0.2,0.128
163,28800,ford,door,DERIVADO DE TURISMO,2016,clean vehicle,77638,white,167756219,south carolina,south carolina,21 hours left,576000,0.1541,0.15,0.128
164,40000,bmw,series,TURISMO FAMILIAR,2016,clean vehicle,31727,gray,167765767,michigan,michigan,2 days left,800000,0.0618,0.03,0.14
165,6140,dodge,doors,DERIVADO DE TURISMO,2018,clean vehicle,52966,silver,167656480,florida,florida,16 hours left,122800,0.11,0.2,0.128
166,21000,ford,flex,DERIVADO DE TURISMO,2016,clean vehicle,24157,gray,167756222,south carolina,south carolina,21 hours left,420000,0.1541,0.15,0.128
167,20105,buick,door,TURISMO FAMILIAR,2016,clean vehicle,51393,beige,167765770,michigan,michigan,20 hours left,402100,0.0618,0.04,0.14
168,6760,dodge,doors,DERIVADO DE TURISMO,2018,clean vehicle,35461,white,167656483,florida,florida,16 hours left,135200,0.11,0.2,0.128
169,25800,ford,door,DERIVADO DE TURISMO,2014,clean vehicle,47055,brown,167756277,pennsylvania,pennsylvania,1 days left,516000,0.12,0.15,0.128
170,39000,bmw,series,TURISMO FAMILIAR,2016,clean vehicle,33110,black,167765776,michigan,michigan,2 days left,780000,0.0618,0.03,0.14
171,5470,dodge,mpv,DERIVADO DE TURISMO,2018,clean vehicle,39721,black,167656495,florida,florida,16 hours left,109400,0.11,0.2,0.128
172,14600,ford,door,DERIVADO DE TURISMO,2014,clean vehicle,75785,black,167756284,pennsylvania,pennsylvania,21 hours left,292000,0.12,0.15,0.128
173,24502,chevrolet,1500,TODO TERRENO,2016,clean vehicle,33624,black,167765812,michigan,michigan,20 hours left,490040,0.0618,0.25,0.125
174,15110,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,42289,white,167656516,texas,texas,2 days left,302200,0.12,0.15,0.128
175,7900,ford,door,DERIVADO DE TURISMO,2014,clean vehicle,79422,white,167756290,new york,new york,21 hours left,158000,0.12,0.15,0.128
176,27305,chevrolet,door,TODO TERRENO,2016,clean vehicle,28844,blue,167765813,michigan,michigan,3 hours left,546100,0.0618,0.25,0.125
177,15290,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,66582,white,167656517,texas,texas,2 days left,305800,0.12,0.15,0.128
178,26500,ford,door,DERIVADO DE TURISMO,2015,clean vehicle,61436,silver,167756321,south carolina,south carolina,21 hours left,530000,0.1541,0.15,0.128
179,25502,chevrolet,door,TODO TERRENO,2016,clean vehicle,58303,silver,167765816,michigan,michigan,20 hours left,510040,0.0618,0.25,0.125
180,7320,ford,mpv,DERIVADO DE TURISMO,2017,clean vehicle,55618,white,167656518,texas,texas,2 days left,146400,0.12,0.15,0.128
181,3800,chevrolet,van,TODO TERRENO,2009,clean vehicle,261648,white,167756420,michigan,michigan,2 days left,76000,0.0618,0.25,0.125
182,24502,chevrolet,door,TODO TERRENO,2016,clean vehicle,33045,white,167765817,michigan,michigan,20 hours left,490040,0.0618,0.25,0.125
183,4140,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,40747,white,167656519,texas,texas,2 days left,82800,0.12,0.15,0.128
184,1400,dodge,pk,DERIVADO DE TURISMO,2002,clean vehicle,185460,black,167756423,michigan,michigan,2 days left,28000,0.0618,0.2,0.128
185,18402,cadillac,srx,INDUSTRIAL LIGERO,2016,clean vehicle,26667,gray,167765819,michigan,michigan,2 days left,368040,0.0618,0.04,0.198
186,4160,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,37176,white,167656520,texas,texas,2 days left,83200,0.12,0.15,0.128
187,24503,chevrolet,colorado,TODO TERRENO,2016,clean vehicle,18006,brown,167765821,michigan,michigan,20 hours left,490060,0.0618,0.25,0.125
188,15840,ford,door,DERIVADO DE TURISMO,2017,clean vehicle,72445,white,167656521,texas,texas,2 days left,316800,0.12,0.15,0.128
